#resolutions
2000; 600; 640; 480; 1000; 1000; 1280; 720; 1920; 1080; 1280; 720; 1280; 720; 1280; 720; 1280; 720; 1920; 1080; 1280; 720

#truth
0; 0.00; nan; nan; 136.5360810; 23.1582133; nan; nan; 219.6458848; 89.0080550; 447.9752767; 231.1019767; -223.6076571; -176.4064007; nan; nan; -283.7957357; 51.0532890; -23.2137623; 42.9197416; -109.1971220; 45.4206415; -77.1331496; 36.6014736
1; 0.03; nan; nan; 54.5929338; -125.1274347; nan; nan; 309.2040894; -97.2412041; 535.8031372; -166.2452772; -229.2606726; -32.2449771; 200.0232713; -50.2670798; -194.2185043; 19.4256714; nan; nan; -62.8837617; -6.8990048; nan; nan
2; 0.07; nan; nan; 96.9787495; -30.6181819; 296.8694493; -92.7166669; nan; nan; 232.9885740; 73.9356353; -100.8099117; -156.9649247; 58.1120863; -7.3074773; -195.8478658; -83.9252888; nan; nan; -100.6836048; -15.9038242; -90.7169819; -17.0627393
3; 0.10; 214.8681867; -77.2975598; 419.4859666; -221.3522875; nan; nan; 333.9216154; -34.6339902; 594.8623032; 42.5750982; nan; nan; 196.5708527; -22.2758555; nan; nan; nan; nan; -165.8240940; -12.8133179; nan; nan
4; 0.13; 189.3920436; -50.9486348; 281.9386172; -102.2302697; nan; nan; 228.8599364; -15.9304421; 411.7045422; 101.9465132; nan; nan; 118.1646058; -17.4473508; -439.1001293; -168.0709203; 312.7449353; -574.5549007; -198.0175897; -30.6269615; -154.7467518; -32.9686545
5; 0.17; 72.3629835; -36.8493804; 89.8006384; -44.5259993; 238.0551633; -81.5486591; 68.6426723; -44.4967945; 115.3328829; 28.7071146; -27.5529088; -170.7783899; 1.5654266; -51.9538085; -150.9436361; -190.9028986; nan; nan; -107.1671767; -67.6148424; -119.3989475; -59.2118431
6; 0.20; nan; nan; 111.9698606; -27.3076668; 300.3063274; -35.9066402; 76.0370332; -8.4827549; 131.4614497; 104.0736524; -30.9671597; -222.6076880; -1.7742624; -19.1358750; nan; nan; 186.7981179; -112.0704972; nan; nan; -146.4901600; -35.1776088
7; 0.23; 62.9791098; 18.8722664; 91.9691840; 17.1116724; 310.1860770; 31.1076412; nan; nan; 230.6705428; 200.3290210; nan; nan; 49.4912623; 53.1672945; -195.4948037; -17.8626830; nan; nan; -96.6719064; 26.2703142; -86.0577309; 27.9728841
8; 0.27; 169.5331406; -3.9621614; 373.5971333; -98.3222370; 1277.1052735; -556.5230951; 341.6445666; 32.9633496; 651.7090936; 141.4884843; nan; nan; 198.0972089; 32.5558614; -421.6358209; 10.9601965; -231.3344351; -281.0069141; -150.0007630; 23.1497571; -98.2016369; 6.2306797
9; 0.30; 34.9099799; 29.6523824; 73.1032891; 13.5348355; nan; nan; 248.5950224; 78.9824707; 509.5561459; 148.2868275; -231.8021265; -76.3088787; 153.1614577; 64.8772819; -212.9634162; 92.8175821; -112.1132642; 37.2853785; -71.2761199; 44.0860274; -36.8451171; 31.9643447
10; 0.33; 36.6748645; -5.4675280; 66.6280147; -33.0951070; 277.9847272; -197.4501264; 209.2375132; 3.2034102; nan; nan; -180.8862522; -75.2772889; 131.8614229; 9.8162945; -186.8046326; 24.9115335; -76.6027074; -45.0533329; -69.3659836; 12.5868937; nan; nan
11; 0.37; 136.1942691; 76.1321923; nan; nan; 1064.5600427; 159.7323490; 237.4207864; 151.9625085; 512.4735539; 415.8761773; -298.1482095; -336.6744282; 121.1339215; 124.5973860; -459.8514102; 78.5218447; nan; nan; -167.4236116; 82.3600501; -119.5250660; 69.6134562
12; 0.40; 144.8285868; -49.3875042; 303.5221730; -172.5691138; nan; nan; 347.4082272; -25.6954325; nan; nan; -314.6348742; -180.4511723; 207.2264044; -10.2407534; -365.2244503; -14.4118236; -246.8977430; -377.1561944; nan; nan; -85.2595016; -17.8130690
13; 0.43; 50.2242683; -49.8729626; 95.5110785; -114.3484621; 361.7306851; -426.3094503; 275.4854510; -73.8076395; 483.7238936; -92.8181588; -219.3511425; -79.1464159; 175.1530554; -43.4937881; nan; nan; -135.7729290; -168.8950838; -81.2725525; -11.3852628; -45.6902077; -31.7600786
14; 0.47; 120.9922552; 46.4356585; 208.6466682; 42.0189507; nan; nan; 221.3902763; 108.6645889; nan; nan; -248.2236116; -279.7696751; 114.2577929; 89.9757415; -390.3178898; 27.8765939; nan; nan; -152.8460462; 55.5597086; -113.0872491; 47.0829840
15; 0.50; 54.2754999; -52.1755375; 77.1664068; -78.8373219; 233.4787245; -215.0981779; nan; nan; 246.7255698; -69.5107568; nan; nan; nan; nan; -165.9081029; -98.1553722; 8.5461559; -161.9388732; -80.8382714; -45.1968370; -68.0430013; -57.3405650

#data
16; 0.53; 35.2025984; 34.2101635; nan; nan; 381.3243979; -104.1488074; 243.8751241; 89.7535898; 505.6249599; 171.0032282; -230.9267388; -79.0330972; 149.6896388; 72.1949261; nan; nan; -106.9429545; 49.5566980; -71.4238440; 47.8662465; -37.4579133; 36.3322979
17; 0.57; 147.7137908; 41.3152867; 232.6137325; 38.8787870; 773.0668416; 65.2773102; nan; nan; 385.1323779; 325.8538318; -212.6708875; -359.4110964; 83.8436486; 85.7805260; -461.9807979; -48.1303311; 282.0396150; 68.1833520; -195.0819854; 49.8253650; -150.5549244; 46.0494690
18; 0.60; 114.2974895; -19.2922205; 167.3642185; -44.5988295; 494.5345017; -143.2497158; 180.9414974; 4.9782793; 333.5162903; 114.8895284; -163.1410190; -228.8165278; 88.9893924; 1.7077729; -311.7721484; -105.3291343; nan; nan; -147.1457626; -12.4226665; nan; nan
19; 0.63; 77.3358672; -42.5243144; 118.5050358; -80.1383748; 368.9904243; -253.1773505; 198.4751000; -47.9327278; 352.7771268; -8.2745710; -166.2016335; -140.0688022; 115.6120296; -37.2465321; -235.4939856; -71.4906452; -9.0571170; -173.1795663; nan; nan; -80.0361585; -35.4406266
20; 0.67; 89.4053604; -45.9913556; 245.3270652; -214.8182767; 992.6410649; -1005.0610091; 422.5221761; -39.6865523; 758.1332242; -49.0188353; -341.8820408; -104.2208925; 250.3039556; -10.2706069; -312.8617679; 42.1533668; -373.8068820; -244.6963063; -101.9692024; 10.9035508; nan; nan
21; 0.70; 38.6619531; -34.9658635; nan; nan; 490.7058472; -644.8417804; 365.8775055; -50.5348111; 656.6828301; -92.9645058; nan; nan; 224.6432286; -16.9354616; -241.1259330; 46.4305757; -241.3149637; -135.7358439; -77.0351340; 8.7902066; -31.9902928; -14.0576086
